АВС/ DEF;От;До;Емкость;Оператор;Регион
901;2656990;2656994;5;РТ-Мобайл;Пермский край
901;2656995;2656995;1;Ростелеком;Пермский край
901;2656996;2657012;17;РТ-Мобайл;Пермский край
901;2657013;2657013;1;Ростелеком;Пермский край
901;2657014;2657457;444;РТ-Мобайл;Пермский край
901;2657458;2657458;1;Ростелеком;Пермский край
901;2657459;2657562;104;РТ-Мобайл;Пермский край
901;2657563;2657563;1;Ростелеком;Пермский край
901;2657564;2657651;88;РТ-Мобайл;Пермский край
901;2657652;2657652;1;Ростелеком;Пермский край
901;2657653;2657760;108;РТ-Мобайл;Пермский край
901;2657761;2657761;1;Ростелеком;Пермский край
901;2657762;2657991;230;РТ-Мобайл;Пермский край
901;2657992;2657992;1;Ростелеком;Пермский край
901;2657993;2658066;74;РТ-Мобайл;Пермский край
901;2658067;2658067;1;Ростелеком;Пермский край
901;2658068;2658161;94;РТ-Мобайл;Пермский край
901;2658162;2658162;1;Ростелеком;Пермский край
901;2658163;2658215;53;РТ-Мобайл;Пермский край
901;2658216;2658216;1;Ростелеком;Пермский край
901;2658217;2658286;70;РТ-Мобайл;Пермский край
901;2658287;2658287;1;Ростелеком;Пермский край
901;2658288;2658323;36;РТ-Мобайл;Пермский край
901;2658324;2658324;1;Ростелеком;Пермский край
901;2658325;2658428;104;РТ-Мобайл;Пермский край
901;2658429;2658429;1;Ростелеком;Пермский край
901;2658430;2658666;237;РТ-Мобайл;Пермский край
901;2658667;2658667;1;Ростелеком;Пермский край
901;2658668;2658668;1;РТ-Мобайл;Пермский край
901;2658669;2658669;1;Ростелеком;Пермский край
901;2658670;2658795;126;РТ-Мобайл;Пермский край
901;2658796;2658796;1;Ростелеком;Пермский край
901;2658797;2658919;123;РТ-Мобайл;Пермский край
901;2658920;2658921;2;Ростелеком;Пермский край
901;2658922;2658990;69;РТ-Мобайл;Пермский край
901;2658991;2658991;1;Ростелеком;Пермский край
901;2658992;2658997;6;РТ-Мобайл;Пермский край
901;2658998;2658998;1;Ростелеком;Пермский край
901;2658999;2661002;2004;РТ-Мобайл;Пермский край
901;2661003;2661003;1;Ростелеком;Пермский край
901;2661004;2661019;16;РТ-Мобайл;Пермский край
901;2661020;2661020;1;Ростелеком;Пермский край
901;2661021;2661120;100;РТ-Мобайл;Пермский край
901;2661121;2661121;1;Ростелеком;Пермский край
901;2661122;2661216;95;РТ-Мобайл;Пермский край
901;2661217;2661217;1;Ростелеком;Пермский край
901;2661218;2661308;91;РТ-Мобайл;Пермский край
901;2661309;2661309;1;Ростелеком;Пермский край
901;2661310;2661343;34;РТ-Мобайл;Пермский край
901;2661344;2661344;1;Ростелеком;Пермский край
901;2661345;2661353;9;РТ-Мобайл;Пермский край
901;2661354;2661354;1;Ростелеком;Пермский край
901;2661355;2661415;61;РТ-Мобайл;Пермский край
901;2661416;2661417;2;Ростелеком;Пермский край
901;2661418;2661436;19;РТ-Мобайл;Пермский край
901;2661437;2661437;1;Ростелеком;Пермский край
901;2661438;2661495;58;РТ-Мобайл;Пермский край
901;2661496;2661496;1;Ростелеком;Пермский край
901;2661497;2661700;204;РТ-Мобайл;Пермский край
901;2661701;2661701;1;Ростелеком;Пермский край
901;2661702;2661706;5;РТ-Мобайл;Пермский край
901;2661707;2661707;1;Ростелеком;Пермский край
901;2661708;2661778;71;РТ-Мобайл;Пермский край
901;2661779;2661779;1;Ростелеком;Пермский край
901;2661780;2661801;22;РТ-Мобайл;Пермский край
901;2661802;2661802;1;Ростелеком;Пермский край
901;2661803;2661822;20;РТ-Мобайл;Пермский край
901;2661823;2661823;1;Ростелеком;Пермский край
901;2661824;2661917;94;РТ-Мобайл;Пермский край
901;2661918;2661918;1;Ростелеком;Пермский край
901;2661919;2661947;29;РТ-Мобайл;Пермский край
901;2661948;2661948;1;Ростелеком;Пермский край
901;2661949;2661950;2;РТ-Мобайл;Пермский край
901;2661951;2661951;1;Ростелеком;Пермский край
901;2661952;2661953;2;РТ-Мобайл;Пермский край
901;2661954;2661954;1;Ростелеком;Пермский край
901;2661955;2661962;8;РТ-Мобайл;Пермский край
901;2661963;2661963;1;Ростелеком;Пермский край
901;2661964;2661981;18;РТ-Мобайл;Пермский край
901;2661982;2661982;1;Ростелеком;Пермский край
901;2661983;2662010;28;РТ-Мобайл;Пермский край
901;2662011;2662011;1;Ростелеком;Пермский край
901;2662012;2662298;287;РТ-Мобайл;Пермский край
901;2662299;2662299;1;Ростелеком;Пермский край
901;2662300;2662381;82;РТ-Мобайл;Пермский край
901;2662382;2662382;1;Ростелеком;Пермский край
901;2662383;2662402;20;РТ-Мобайл;Пермский край
901;2662403;2662403;1;Ростелеком;Пермский край
901;2662404;2662554;151;РТ-Мобайл;Пермский край
901;2662555;2662555;1;Ростелеком;Пермский край
901;2662556;2662705;150;РТ-Мобайл;Пермский край
901;2662706;2662706;1;Ростелеком;Пермский край
901;2662707;2662760;54;РТ-Мобайл;Пермский край
901;2662761;2662761;1;Ростелеком;Пермский край
901;2662762;2662765;4;РТ-Мобайл;Пермский край
901;2662766;2662766;1;Ростелеком;Пермский край
901;2662767;2662775;9;РТ-Мобайл;Пермский край
901;2662776;2662776;1;Ростелеком;Пермский край
901;2662777;2662787;11;РТ-Мобайл;Пермский край
901;2662788;2662788;1;Ростелеком;Пермский край
901;2662789;2662830;42;РТ-Мобайл;Пермский край
901;2662831;2662832;2;Ростелеком;Пермский край
901;2662833;2662864;32;РТ-Мобайл;Пермский край
901;2662865;2662865;1;Ростелеком;Пермский край
901;2662866;2662894;29;РТ-Мобайл;Пермский край
901;2662895;2662895;1;Ростелеком;Пермский край
901;2662896;2662931;36;РТ-Мобайл;Пермский край
901;2662932;2662932;1;Ростелеком;Пермский край
901;2662933;2662933;1;РТ-Мобайл;Пермский край
901;2662934;2662934;1;Ростелеком;Пермский край
901;2662935;2663036;102;РТ-Мобайл;Пермский край
901;2663037;2663037;1;Ростелеком;Пермский край
901;2663038;2663042;5;РТ-Мобайл;Пермский край
901;2663043;2663045;3;Ростелеком;Пермский край
901;2663046;2663047;2;РТ-Мобайл;Пермский край
901;2663048;2663048;1;Ростелеком;Пермский край
901;2663049;2663128;80;РТ-Мобайл;Пермский край
901;2663129;2663129;1;Ростелеком;Пермский край
901;2663130;2663138;9;РТ-Мобайл;Пермский край
901;2663139;2663140;2;Ростелеком;Пермский край
901;2663141;2663376;236;РТ-Мобайл;Пермский край
901;2663377;2663377;1;Ростелеком;Пермский край
901;2663378;2663402;25;РТ-Мобайл;Пермский край
901;2663403;2663403;1;Ростелеком;Пермский край
901;2663404;2663472;69;РТ-Мобайл;Пермский край
901;2663473;2663473;1;Ростелеком;Пермский край
901;2663474;2663486;13;РТ-Мобайл;Пермский край
901;2663487;2663487;1;Ростелеком;Пермский край
901;2663488;2663511;24;РТ-Мобайл;Пермский край
901;2663512;2663512;1;Ростелеком;Пермский край
901;2663513;2663559;47;РТ-Мобайл;Пермский край
901;2663560;2663560;1;Ростелеком;Пермский край
901;2663561;2663564;4;РТ-Мобайл;Пермский край
901;2663565;2663565;1;Ростелеком;Пермский край
901;2663566;2663581;16;РТ-Мобайл;Пермский край
901;2663582;2663582;1;Ростелеком;Пермский край
901;2663583;2663611;29;РТ-Мобайл;Пермский край
901;2663612;2663612;1;Ростелеком;Пермский край
901;2663613;2663642;30;РТ-Мобайл;Пермский край
901;2663643;2663643;1;Ростелеком;Пермский край
901;2663644;2663648;5;РТ-Мобайл;Пермский край
901;2663649;2663649;1;Ростелеком;Пермский край
901;2663650;2663820;171;РТ-Мобайл;Пермский край
901;2663821;2663821;1;Ростелеком;Пермский край
901;2663822;2663877;56;РТ-Мобайл;Пермский край
901;2663878;2663878;1;Ростелеком;Пермский край
901;2663879;2664361;483;РТ-Мобайл;Пермский край
901;2664362;2664362;1;Ростелеком;Пермский край
901;2664363;2664466;104;РТ-Мобайл;Пермский край
901;2664467;2664467;1;Ростелеком;Пермский край
901;2664468;2664624;157;РТ-Мобайл;Пермский край
901;2664625;2664625;1;Ростелеком;Пермский край
901;2664626;2664874;249;РТ-Мобайл;Пермский край
901;2664875;2664875;1;Ростелеком;Пермский край
901;2664876;2664941;66;РТ-Мобайл;Пермский край
901;2664942;2664942;1;Ростелеком;Пермский край
901;2664943;2665009;67;РТ-Мобайл;Пермский край
901;2665010;2665014;5;Ростелеком;Пермский край
901;2665015;2665070;56;РТ-Мобайл;Пермский край
901;2665071;2665071;1;Ростелеком;Пермский край
901;2665072;2665161;90;РТ-Мобайл;Пермский край
901;2665162;2665162;1;Ростелеком;Пермский край
901;2665163;2665165;3;РТ-Мобайл;Пермский край
901;2665166;2665166;1;Ростелеком;Пермский край
901;2665167;2665222;56;РТ-Мобайл;Пермский край
901;2665223;2665223;1;Ростелеком;Пермский край
901;2665224;2665268;45;РТ-Мобайл;Пермский край
901;2665269;2665270;2;Ростелеком;Пермский край
901;2665271;2665335;65;РТ-Мобайл;Пермский край
901;2665336;2665336;1;Ростелеком;Пермский край
901;2665337;2665395;59;РТ-Мобайл;Пермский край
901;2665396;2665396;1;Ростелеком;Пермский край
901;2665397;2665437;41;РТ-Мобайл;Пермский край
901;2665438;2665438;1;Ростелеком;Пермский край
901;2665439;2665499;61;РТ-Мобайл;Пермский край
901;2665500;2665500;1;Ростелеком;Пермский край
901;2665501;2665536;36;РТ-Мобайл;Пермский край
901;2665537;2665537;1;Ростелеком;Пермский край
901;2665538;2665564;27;РТ-Мобайл;Пермский край
901;2665565;2665565;1;Ростелеком;Пермский край
901;2665566;2665566;1;РТ-Мобайл;Пермский край
901;2665567;2665567;1;Ростелеком;Пермский край
901;2665568;2665628;61;РТ-Мобайл;Пермский край
901;2665629;2665629;1;Ростелеком;Пермский край
901;2665630;2665691;62;РТ-Мобайл;Пермский край
901;2665692;2665692;1;Ростелеком;Пермский край
901;2665693;2665823;131;РТ-Мобайл;Пермский край
901;2665824;2665824;1;Ростелеком;Пермский край
901;2665825;2667021;1197;РТ-Мобайл;Пермский край
901;2667022;2667022;1;Ростелеком;Пермский край
901;2667023;2667026;4;РТ-Мобайл;Пермский край
901;2667027;2667027;1;Ростелеком;Пермский край
901;2667028;2667036;9;РТ-Мобайл;Пермский край
901;2667037;2667037;1;Ростелеком;Пермский край
901;2667038;2667495;458;РТ-Мобайл;Пермский край
901;2667496;2667496;1;Ростелеком;Пермский край
901;2667497;2667546;50;РТ-Мобайл;Пермский край
901;2667547;2667547;1;Ростелеком;Пермский край
901;2667548;2667560;13;РТ-Мобайл;Пермский край
901;2667561;2667561;1;Ростелеком;Пермский край
901;2667562;2667705;144;РТ-Мобайл;Пермский край
901;2667706;2667706;1;Ростелеком;Пермский край
901;2667707;2667755;49;РТ-Мобайл;Пермский край
901;2667756;2667756;1;Ростелеком;Пермский край
901;2667757;2668165;409;РТ-Мобайл;Пермский край
901;2668166;2668166;1;Ростелеком;Пермский край
901;2668167;2668212;46;РТ-Мобайл;Пермский край
901;2668213;2668213;1;Ростелеком;Пермский край
901;2668214;2668223;10;РТ-Мобайл;Пермский край
901;2668224;2668224;1;Ростелеком;Пермский край
901;2668225;2668407;183;РТ-Мобайл;Пермский край
901;2668408;2668408;1;Ростелеком;Пермский край
901;2668409;2668424;16;РТ-Мобайл;Пермский край
901;2668425;2668425;1;Ростелеком;Пермский край
901;2668426;2668426;1;РТ-Мобайл;Пермский край
901;2668427;2668427;1;Ростелеком;Пермский край
901;2668428;2668432;5;РТ-Мобайл;Пермский край
901;2668433;2668433;1;Ростелеком;Пермский край
901;2668434;2668454;21;РТ-Мобайл;Пермский край
