АВС/ DEF;От;До;Емкость;Оператор;Регион
812;5716094;5717061;968;Ростелеком;Санкт - Петербург
812;5717062;5717062;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5717063;5717283;221;Ростелеком;Санкт - Петербург
812;5717284;5717284;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5717285;5717565;281;Ростелеком;Санкт - Петербург
812;5717566;5717566;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5717567;5717713;147;Ростелеком;Санкт - Петербург
812;5717714;5717714;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5717715;5717921;207;Ростелеком;Санкт - Петербург
812;5717922;5717922;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5717923;5718531;609;Ростелеком;Санкт - Петербург
812;5718532;5718532;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5718533;5718758;226;Ростелеком;Санкт - Петербург
812;5718759;5718759;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5718760;5719310;551;Ростелеком;Санкт - Петербург
812;5719311;5719311;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5719312;5719441;130;Ростелеком;Санкт - Петербург
812;5719442;5719442;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5719443;5719455;13;Ростелеком;Санкт - Петербург
812;5719456;5719456;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5719457;5719461;5;Ростелеком;Санкт - Петербург
812;5719462;5719462;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5719463;5719650;188;Ростелеком;Санкт - Петербург
812;5719651;5719651;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5719652;5719946;295;Ростелеком;Санкт - Петербург
812;5719947;5719947;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5719948;5719961;14;Ростелеком;Санкт - Петербург
812;5719962;5719962;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5719963;5727010;7048;Ростелеком;Санкт - Петербург
812;5727011;5727011;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5727012;5729999;2988;Ростелеком;Санкт - Петербург
812;5730000;5739999;10000;Автоматическая телефонная станция Смольного;Санкт - Петербург
812;5740000;5740441;442;Ростелеком;Санкт - Петербург
812;5740442;5740442;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5740443;5742515;2073;Ростелеком;Санкт - Петербург
812;5742516;5742516;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5742517;5742517;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5742518;5749447;6930;Ростелеком;Санкт - Петербург
812;5749448;5749448;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5749449;5749878;430;Ростелеком;Санкт - Петербург
812;5749879;5749879;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5749880;5749913;34;Ростелеком;Санкт - Петербург
812;5749914;5749914;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5749915;5759999;10085;Ростелеком;Санкт - Петербург
812;5760000;5769999;10000;Автоматическая телефонная станция Смольного;Санкт - Петербург
812;5770000;5773295;3296;Ростелеком;Санкт - Петербург
812;5773296;5773296;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5773297;5780899;7603;Ростелеком;Санкт - Петербург
812;5780900;5780999;100;РЕЛКОМ-СПб;Санкт - Петербург
812;5781000;5781999;1000;Гостиница Октябрьская;Санкт - Петербург
812;5782000;5782999;1000;ТЕТА ТЕЛЕКОМ;Санкт - Петербург
812;5783000;5783999;1000;Классик Транзит Телеком;Санкт - Петербург
812;5784000;5784999;1000;Ростелеком;Санкт - Петербург
812;5785000;5785499;500;Авелаком;Санкт - Петербург
812;5785500;5787699;2200;Ростелеком;Санкт - Петербург
812;5787700;5787719;20;Северен-Телеком;Санкт - Петербург
812;5787720;5787769;50;Оптик Телеком;Санкт - Петербург
812;5787770;5787787;18;Северен-Телеком;Санкт - Петербург
812;5787788;5787788;1;ЗЕБРА ТЕЛЕКОМ;Санкт - Петербург
812;5787789;5787799;11;Северен-Телеком;Санкт - Петербург
812;5787800;5789199;1400;Ростелеком;Санкт - Петербург
812;5789200;5789299;100;Гостиница Октябрьская;Санкт - Петербург
812;5789300;5809999;20700;Ростелеком;Санкт - Петербург
812;5830000;5882520;52521;Ростелеком;Санкт - Петербург
812;5882521;5882521;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5882522;5882621;100;Ростелеком;Санкт - Петербург
812;5882622;5882622;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5882623;5895349;12727;Ростелеком;Санкт - Петербург
812;5895350;5895350;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5895351;5895823;473;Ростелеком;Санкт - Петербург
812;5895824;5895824;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5895825;5953099;57275;Ростелеком;Санкт - Петербург
812;5953100;5953399;300;ЛЭИВО;Санкт - Петербург
812;5953400;5953499;100;Ростелеком;Санкт - Петербург
812;5953500;5953511;12;Северен-Телеком;Санкт - Петербург
812;5953512;5953512;1;ЗЕБРА ТЕЛЕКОМ;Санкт - Петербург
812;5953513;5953513;1;Северен-Телеком;Санкт - Петербург
812;5953514;5953514;1;ЗЕБРА ТЕЛЕКОМ;Санкт - Петербург
812;5953515;5953527;13;Северен-Телеком;Санкт - Петербург
812;5953528;5953529;2;ЗЕБРА ТЕЛЕКОМ;Санкт - Петербург
812;5953530;5953562;33;Северен-Телеком;Санкт - Петербург
812;5953563;5953563;1;ЗЕБРА ТЕЛЕКОМ;Санкт - Петербург
812;5953564;5953564;1;Северен-Телеком;Санкт - Петербург
812;5953565;5953565;1;ЗЕБРА ТЕЛЕКОМ;Санкт - Петербург
812;5953566;5953567;2;Северен-Телеком;Санкт - Петербург
812;5953568;5953568;1;ЗЕБРА ТЕЛЕКОМ;Санкт - Петербург
812;5953569;5953576;8;Северен-Телеком;Санкт - Петербург
812;5953577;5953577;1;ЗЕБРА ТЕЛЕКОМ;Санкт - Петербург
812;5953578;5953578;1;Северен-Телеком;Санкт - Петербург
812;5953579;5953579;1;ЗЕБРА ТЕЛЕКОМ;Санкт - Петербург
812;5953580;5953599;20;Северен-Телеком;Санкт - Петербург
812;5953600;5953699;100;КОМИН;Санкт - Петербург
812;5953700;5954999;1300;Ростелеком;Санкт - Петербург
812;5955000;5955999;1000;РИМ;Санкт - Петербург
812;5956000;5956999;1000;Ростелеком;Санкт - Петербург
812;5957000;5957099;100;РИМ;Санкт - Петербург
812;5957100;5957199;100;РИМ;Санкт - Петербург
812;5957200;5957299;100;Ростелеком;Санкт - Петербург
812;5957300;5957399;100;РИМ;Санкт - Петербург
812;5957400;5957499;100;РИМ;Санкт - Петербург
812;5957500;5957599;100;РИМ;Санкт - Петербург
812;5957600;5957699;100;РИМ;Санкт - Петербург
812;5957700;5957799;100;РИМ;Санкт - Петербург
812;5957800;5958599;800;Ростелеком;Санкт - Петербург
812;5958600;5958799;200;ЛЭИВО;Санкт - Петербург
812;5958800;5960752;1953;Ростелеком;Санкт - Петербург
812;5960753;5960753;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5960754;5961919;1166;Ростелеком;Санкт - Петербург
812;5961920;5961999;80;Классик Транзит Телеком;Санкт - Петербург
812;5962000;5963047;1048;Ростелеком;Санкт - Петербург
812;5963048;5963048;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5963049;5969184;6136;Ростелеком;Санкт - Петербург
812;5969185;5969185;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5969186;5977111;7926;Ростелеком;Санкт - Петербург
812;5977112;5977112;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5977113;5977174;62;Ростелеком;Санкт - Петербург
812;5977175;5977175;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
