79012658922;79012658990;РТ-Мобайл;RT-Mobail;
79012658991;79012658991;Ростелеком;Rostelekom;
79012658992;79012658997;РТ-Мобайл;RT-Mobail;
79012658998;79012658998;Ростелеком;Rostelekom;
79012658999;79012661002;РТ-Мобайл;RT-Mobail;
79012661003;79012661003;Ростелеком;Rostelekom;
79012661004;79012661019;РТ-Мобайл;RT-Mobail;
79012661020;79012661020;Ростелеком;Rostelekom;
79012661021;79012661120;РТ-Мобайл;RT-Mobail;
79012661121;79012661121;Ростелеком;Rostelekom;
79012661122;79012661216;РТ-Мобайл;RT-Mobail;
79012661217;79012661217;Ростелеком;Rostelekom;
79012661218;79012661308;РТ-Мобайл;RT-Mobail;
79012661309;79012661309;Ростелеком;Rostelekom;
79012661310;79012661343;РТ-Мобайл;RT-Mobail;
79012661344;79012661344;Ростелеком;Rostelekom;
79012661345;79012661353;РТ-Мобайл;RT-Mobail;
79012661354;79012661354;Ростелеком;Rostelekom;
79012661355;79012661415;РТ-Мобайл;RT-Mobail;
79012661416;79012661417;Ростелеком;Rostelekom;
79012661418;79012661436;РТ-Мобайл;RT-Mobail;
79012661437;79012661437;Ростелеком;Rostelekom;
79012661438;79012661495;РТ-Мобайл;RT-Mobail;
79012661496;79012661496;Ростелеком;Rostelekom;
79012661497;79012661700;РТ-Мобайл;RT-Mobail;
79012661701;79012661701;Ростелеком;Rostelekom;
79012661702;79012661706;РТ-Мобайл;RT-Mobail;
79012661707;79012661707;Ростелеком;Rostelekom;
79012661708;79012661778;РТ-Мобайл;RT-Mobail;
79012661779;79012661779;Ростелеком;Rostelekom;
79012661780;79012661801;РТ-Мобайл;RT-Mobail;
79012661802;79012661802;Ростелеком;Rostelekom;
79012661803;79012661822;РТ-Мобайл;RT-Mobail;
79012661823;79012661823;Ростелеком;Rostelekom;
79012661824;79012661917;РТ-Мобайл;RT-Mobail;
79012661918;79012661918;Ростелеком;Rostelekom;
79012661919;79012661947;РТ-Мобайл;RT-Mobail;
79012661948;79012661948;Ростелеком;Rostelekom;
